extracted_text,llm_label,bioportal_prefLabel,ontology_uri,ontology,mapping_backend,mapping_error,chunk,start,end,source_pass,context,source_chunk_path
nucleus accumbens,BRAIN_STRUCTURE,nucleus accumbens septi,http://purl.jp/bio/4/id/200906026769438853,IOBC,local,,chunk_000,944,961,llm_pass1,"s four neurotypical donors. These datasets profiled ~7 million cells spanning the caudate, putamen, nucleus accumbens, and globus pallidus, resolving 60 transcriptionally distinct cell types. We show region-selective",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_000,967,982,llm_pass1,"ors. These datasets profiled ~7 million cells spanning the caudate, putamen, nucleus accumbens, and globus pallidus, resolving 60 transcriptionally distinct cell types. We show region-selective, molecular and spati",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
direct and indirect pathway topology,NEURAL_PATHWAY,Direct pathway,http://uri.interlex.org/tgbugs/uris/readable/DirectPathway,NPOKB,local,,chunk_000,1333,1369,llm_pass1,. Subcellular RNA localization captures somatic size and projectioninferred signatures that reflect direct and indirect pathway topology. Cellular community analyses reveal the enrichment of sub-clusters of astrocytes and oligodendrocyt,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
astrocytes,GlialCellType,Set of astrocytes,http://purl.org/sig/ont/fma/fma84101,FMA,local,,chunk_000,1440,1450,llm_masked_pass,"and indirect pathway topology. Cellular community analyses reveal the enrichment of sub-clusters of astrocytes and oligodendrocytes at striosome-matrix borders, while primate-expanded interneurons are confined",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
oligodendrocytes,GlialCellType,Oligodendrocytes damage,http://scai.fraunhofer.de/MSOntology#Oligodendrocytes_damage,MSO,local,,chunk_000,1455,1471,llm_masked_pass,"thway topology. Cellular community analyses reveal the enrichment of sub-clusters of astrocytes and oligodendrocytes at striosome-matrix borders, while primate-expanded interneurons are confined to matrix territories",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
striosome,NeuroanatomicalCompartment,D2 Striosome MSN,http://purl.obolibrary.org/obo/CL_4030049,HRA,local,,chunk_000,1475,1484,llm_masked_pass,"ular community analyses reveal the enrichment of sub-clusters of astrocytes and oligodendrocytes at striosome-matrix borders, while primate-expanded interneurons are confined to matrix territories. Cross-speci",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,1799,1812,llm_pass1,"on gradients. This atlas provides a foundational molecular and spatial framework for studying human basal ganglia architecture, offering a multi-centimeter scale resource that links cell types, spatial architectur",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,2002,2015,llm_pass1,"rchitecture, and subcellular transcript topography across multiple nuclei. INTRODUCTION The human basal ganglia is a critical brain structure involved in motor control, learning and emotion. It is comprised of d",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
striatum,BRAIN_STRUCTURE,striatum,http://purl.obolibrary.org/obo/UBERON_0002435,UPHENO,local,,chunk_000,2170,2178,llm_pass1,"l, learning and emotion. It is comprised of distinct anatomical nuclei / subdivisions including the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), a",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
caudate nucleus,BRAIN_STRUCTURE,Caudate Nucleus,http://purl.jp/bio/4/id/200906006884530231,IOBC,local,,chunk_000,2180,2195,llm_pass1,"g and emotion. It is comprised of distinct anatomical nuclei / subdivisions including the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus ac",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
putamen,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_000,2200,2207,llm_pass1,"comprised of distinct anatomical nuclei / subdivisions including the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_000,2214,2229,llm_pass1,"distinct anatomical nuclei / subdivisions including the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cel",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
internal segment,NeuroanatomicalSubdivision,Putamen,http://www.radlex.org/RID/RID6551,RADLEX,local,,chunk_000,2244,2260,llm_masked_pass,"ubdivisions including the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are we",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GPe,BRAIN_STRUCTURE,Structure of putamen,http://doe-generated-ontology.com/OntoAD#C0034169,ONTOAD,local,,chunk_000,2263,2266,llm_pass1,"ng the striatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are well cha",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GPi,BRAIN_STRUCTURE,Putamen,http://www.radlex.org/RID/RID6551,RADLEX,local,,chunk_000,2271,2274,llm_pass1,"triatum (caudate nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are well characteriz",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
nucleus accumbens,BRAIN_STRUCTURE,nucleus accumbens septi,http://purl.jp/bio/4/id/200906026769438853,IOBC,local,,chunk_000,2285,2302,llm_pass1,"te nucleus and putamen), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are well characterized in rodents and non-human",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
NAc,BRAIN_STRUCTURE,Abnormal globus pallidus morphology,http://purl.obolibrary.org/obo/HP_0002453,UPHENO,local,,chunk_000,2304,2307,llm_pass1,"men), the globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are well characterized in rodents and non-human prima",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
Basal ganglia,BRAIN_STRUCTURE,Basal Ganglia Diseases,http://doe-generated-ontology.com/OntoAD#C0004782,ONTOAD,local,,chunk_000,2312,2325,llm_pass1,"e globus pallidus (external and internal segments, GPe and GPi), and the nucleus accumbens (NAc) 1. Basal ganglia cell types and architecture are well characterized in rodents and non-human primates, but are much",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GABAergic medium spiny neurons (MSNs),CellType,Excitotoxicity Damage of Striatum Medium Spiny Neurons in Huntington Disease,urn:agi-pathway:uuid-eb0af87d-5e76-4826-9444-ee515e97051b,BPT,local,,chunk_000,2513,2550,llm_masked_pass,ut are much less understood in humans. The literature from both animal models and humans shows that GABAergic medium spiny neurons (MSNs) are the dominant neuronal cell type in the striatum (85-95%) [2][3][4][5]; MSNs are divided into tw,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
striatum,BRAIN_STRUCTURE,striatum,http://purl.obolibrary.org/obo/UBERON_0002435,UPHENO,local,,chunk_000,2594,2602,llm_pass1,"humans shows that GABAergic medium spiny neurons (MSNs) are the dominant neuronal cell type in the striatum (85-95%) [2][3][4][5]; MSNs are divided into two major populations: D1-type MSNs, which express the",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
D1-type MSNs,CellType,dopamine receptor D1 agonist therapy,http://purl.obolibrary.org/obo/MAXO_0001333,MAXO,local,,chunk_000,2671,2683,llm_masked_pass,"ronal cell type in the striatum (85-95%) [2][3][4][5]; MSNs are divided into two major populations: D1-type MSNs, which express the dopamine receptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
dopamine receptor D1 (DRD1),Receptor,dopamine receptor D1 agonist therapy,http://purl.obolibrary.org/obo/MAXO_0001333,MAXO,local,,chunk_000,2703,2730,llm_masked_pass,"(85-95%) [2][3][4][5]; MSNs are divided into two major populations: D1-type MSNs, which express the dopamine receptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine recepto",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
tachykinin precursor 1 (TAC1),Gene,dopamine receptor D1 agonist therapy,http://purl.obolibrary.org/obo/MAXO_0001333,MAXO,local,,chunk_000,2732,2761,llm_masked_pass,"re divided into two major populations: D1-type MSNs, which express the dopamine receptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PEN",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
dynorphin,Neuropeptide,DRD2 gene,http://purl.jp/bio/4/id/201006033817596501,IOBC,local,,chunk_000,2767,2776,llm_masked_pass,"ns: D1-type MSNs, which express the dopamine receptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PENK), and enkepha",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
D2-type MSNs,CellType,DRD2 gene,http://purl.jp/bio/4/id/201006033817596501,IOBC,local,,chunk_000,2782,2794,llm_masked_pass,"s, which express the dopamine receptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PENK), and enkephalin 2,3,6. The D1",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
dopamine receptor D2 (DRD2),Receptor,dopamine d2 receptor,http://sbmi.uth.tmc.edu/ontology/ochv#13917,OCHV,local,,chunk_000,2814,2841,llm_masked_pass,"ceptor D1 (DRD1), tachykinin precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PENK), and enkephalin 2,3,6. The D1 and D2 populations are spatially organized into",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
proenkephalin (PENK),Gene,DRD2 gene,http://purl.jp/bio/4/id/201006033817596501,IOBC,local,,chunk_000,2843,2863,llm_masked_pass,"precursor 1 (TAC1), and dynorphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PENK), and enkephalin 2,3,6. The D1 and D2 populations are spatially organized into interdigitated strios",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
enkephalin,Neuropeptide,DRD2 gene,http://purl.jp/bio/4/id/201006033817596501,IOBC,local,,chunk_000,2869,2879,llm_masked_pass,"norphin; and D2-type MSNs, which express the dopamine receptor D2 (DRD2), proenkephalin (PENK), and enkephalin 2,3,6. The D1 and D2 populations are spatially organized into interdigitated striosome and matrix c",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
matrix compartments,NeuroanatomicalCompartment,"Matrix Metalloproteinases, Secreted",http://purl.bioontology.org/ontology/MESH/D053505,MESH,local,,chunk_000,2971,2990,llm_masked_pass,"kephalin 2,3,6. The D1 and D2 populations are spatially organized into interdigitated striosome and matrix compartments that form the structural foundation of basal ganglia function 3,7,8. Further studies, including tho",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_000,3030,3043,llm_pass1,"anized into interdigitated striosome and matrix compartments that form the structural foundation of basal ganglia function 3,7,8. Further studies, including those using singlenucleus RNA-seq in animal and human br",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
singlenucleus RNA-seq,Technique,RNA-Seq,https://pat.nichd.nih.gov/patinvestigativetechniques/IT.16.03.05,PATIT,local,,chunk_000,3099,3120,llm_masked_pass,"m the structural foundation of basal ganglia function 3,7,8. Further studies, including those using singlenucleus RNA-seq in animal and human brains have revealed additional D1/D2 neuronal diversity 9,10, and identified m",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
cholinergic (choline acetyltransferase-positive; ChAT+),CellTypeMarker,"positive regulation of synaptic transmission, cholinergic",http://purl.org/obo/owl/GO#GO_0032224,BIOMODELS,local,,chunk_000,3263,3318,llm_masked_pass,"dditional D1/D2 neuronal diversity 9,10, and identified multiple classes of interneurons, including cholinergic (choline acetyltransferase-positive; ChAT+), parvalbumin-positive (PV+), somatostatinpositive (SST+), and neuropeptide Y/tyrosine hydroxylase-p",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
parvalbumin-positive (PV+),CellTypeMarker,positive regulation of tyrosine phosphorylation of STAT protein,http://purl.org/obo/owl/GO#GO_0042531,BIOMODELS,local,,chunk_000,3320,3346,llm_masked_pass,"ultiple classes of interneurons, including cholinergic (choline acetyltransferase-positive; ChAT+), parvalbumin-positive (PV+), somatostatinpositive (SST+), and neuropeptide Y/tyrosine hydroxylase-positive (NPY+/TH+) subtypes",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
somatostatinpositive (SST+),CellTypeMarker,positive regulation of protein tyrosine kinase activity,http://purl.obolibrary.org/obo/GO_0061098,CHIRO,local,,chunk_000,3348,3375,llm_masked_pass,"ons, including cholinergic (choline acetyltransferase-positive; ChAT+), parvalbumin-positive (PV+), somatostatinpositive (SST+), and neuropeptide Y/tyrosine hydroxylase-positive (NPY+/TH+) subtypes [10][11][12][13][14]. The nuc",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
neuropeptide Y/tyrosine hydroxylase-positive (NPY+/TH+),CellTypeMarker,neuropeptide Y,http://purl.obolibrary.org/obo/PR_000011387,NPOKB,local,,chunk_000,3381,3436,llm_masked_pass,"ne acetyltransferase-positive; ChAT+), parvalbumin-positive (PV+), somatostatinpositive (SST+), and neuropeptide Y/tyrosine hydroxylase-positive (NPY+/TH+) subtypes [10][11][12][13][14]. The nucleus accumbens, located at the ventral extension of the stria",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
nucleus accumbens,BRAIN_STRUCTURE,nucleus accumbens septi,http://purl.jp/bio/4/id/200906026769438853,IOBC,local,,chunk_000,3472,3489,llm_pass1,"T+), and neuropeptide Y/tyrosine hydroxylase-positive (NPY+/TH+) subtypes [10][11][12][13][14]. The nucleus accumbens, located at the ventral extension of the striatum, contains both D1 and D2 MSNs and is further divi",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
striatum,BRAIN_STRUCTURE,striatum,http://purl.obolibrary.org/obo/UBERON_0002435,UPHENO,local,,chunk_000,3531,3539,llm_pass1,"/TH+) subtypes [10][11][12][13][14]. The nucleus accumbens, located at the ventral extension of the striatum, contains both D1 and D2 MSNs and is further divided into core and shell subregions. These subregi",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
core and shell subregions,NeuroanatomicalSubdivision,shell of nucleus accumbens,http://purl.obolibrary.org/obo/UBERON_0012171,EFO,local,,chunk_000,3598,3623,llm_masked_pass,"at the ventral extension of the striatum, contains both D1 and D2 MSNs and is further divided into core and shell subregions. These subregions mirror the cellular composition of the dorsal striatum, including diverse intern",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
striatum,BRAIN_STRUCTURE,striatum,http://purl.obolibrary.org/obo/UBERON_0002435,UPHENO,local,,chunk_000,3689,3697,llm_pass1,"ded into core and shell subregions. These subregions mirror the cellular composition of the dorsal striatum, including diverse interneuron classes 10,15. The globus pallidus consists of two principal divisio",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_000,3748,3763,llm_pass1,"r the cellular composition of the dorsal striatum, including diverse interneuron classes 10,15. The globus pallidus consists of two principal divisions: the external segment (GPe) and the internal segment (GPi) 3,16",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
external segment,NeuroanatomicalSubdivision,Globus Pallidus External Segment,https://w3id.org/onvoc/ONVOC_0000116,ONVOC,local,,chunk_000,3805,3821,llm_masked_pass,"ing diverse interneuron classes 10,15. The globus pallidus consists of two principal divisions: the external segment (GPe) and the internal segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection n",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GPe,BRAIN_STRUCTURE,Structure of putamen,http://doe-generated-ontology.com/OntoAD#C0034169,ONTOAD,local,,chunk_000,3823,3826,llm_pass1,"euron classes 10,15. The globus pallidus consists of two principal divisions: the external segment (GPe) and the internal segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection neuron",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GPi,BRAIN_STRUCTURE,Putamen,http://www.radlex.org/RID/RID6551,RADLEX,local,,chunk_000,3854,3857,llm_pass1,"pallidus consists of two principal divisions: the external segment (GPe) and the internal segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection neurons 17. Within GPe, prototypic ne",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
PV+ GABAergic projection neurons,CellType,GABAergic Neurons,http://purl.obolibrary.org/obo/MESH_D059330,BERO,local,,chunk_000,3895,3927,llm_masked_pass,"ions: the external segment (GPe) and the internal segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection neurons 17. Within GPe, prototypic neurons express PV, LIM homeobox 6 (LHX6), and NK2 homeobox 1 (NKX2-1) 1",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
GPe,BRAIN_STRUCTURE,Structure of putamen,http://doe-generated-ontology.com/OntoAD#C0034169,ONTOAD,local,,chunk_000,3939,3942,llm_pass1,"ernal segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection neurons 17. Within GPe, prototypic neurons express PV, LIM homeobox 6 (LHX6), and NK2 homeobox 1 (NKX2-1) 18,19; arkypalli",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
prototypic neurons,CellType,GABAergic Neurons,http://purl.obolibrary.org/obo/MESH_D059330,BERO,local,,chunk_000,3944,3962,llm_masked_pass,"segment (GPi) 3,16. Both regions are dominated by PV+ GABAergic projection neurons 17. Within GPe, prototypic neurons express PV, LIM homeobox 6 (LHX6), and NK2 homeobox 1 (NKX2-1) 18,19; arkypallidal neurons express",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
PV,MolecularMarker,Recurrent PV thrush,http://purl.jp/bio/4/id/200906008594525830,IOBC,local,,chunk_000,3971,3973,llm_masked_pass,"egions are dominated by PV+ GABAergic projection neurons 17. Within GPe, prototypic neurons express PV, LIM homeobox 6 (LHX6), and NK2 homeobox 1 (NKX2-1) 18,19; arkypallidal neurons express neuronal PA",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_000.txt
